Dados horários fornecidos pelo sistema QUALAR/CETESB, reduzidos para a escala diaria.
Estacao Ibirapuera
variavel, unidade, descricao
date, dia, yyyy-mm-dd
MP10, ug/m3, concentração de material particulado inalável
CO, ppm, concentração de monóxido de carbono
O3, ug/m3, concentração de ozônio
NO, ug/m3, concentração de óxido de nitrogênio
NO2, ug/m3, concentração de dióxido de nitrogênio
Dados faltantes são representados por "NaN".
date,MP10,CO,O3,NO,NO2
2005-01-01,46.917,0.496,59.435,0.217,15.870
2005-01-02,33.250,0.375,59.130,0.609,13.826
2005-01-03,23.792,0.496,33.565,6.739,27.478
2005-01-04,16.458,0.621,10.130,10.783,30.261
2005-01-05,13.333,0.517,7.261,6.000,25.652
2005-01-06,17.500,0.478,13.043,3.217,24.261
2005-01-07,22.042,0.739,18.565,9.522,33.957
2005-01-08,28.458,0.596,43.870,7.826,24.783
2005-01-09,28.750,0.470,43.783,0.348,17.261
2005-01-10,22.917,0.592,27.913,6.478,28.304
2005-01-11,19.042,0.665,12.211,9.391,34.391
2005-01-12,12.250,0.413,24.565,4.261,21.522
2005-01-13,26.833,0.517,65.739,3.522,25.000
2005-01-14,31.833,0.558,65.304,3.739,31.652
2005-01-15,32.000,0.561,48.348,3.826,27.391
2005-01-16,23.125,0.488,35.682,0.435,19.609
2005-01-17,13.208,0.535,24.130,5.261,28.435
2005-01-18,27.125,0.829,22.565,12.043,41.957
2005-01-19,17.792,0.648,13.348,11.478,27.652
2005-01-20,13.500,0.629,5.261,12.261,24.174
2005-01-21,15.125,0.730,6.174,16.826,25.478
2005-01-22,21.458,0.733,10.783,14.435,30.739
2005-01-23,25.292,0.778,34.870,12.957,18.478
2005-01-24,29.375,0.783,40.522,4.652,38.696
2005-01-25,18.708,0.513,14.522,8.087,23.870
2005-01-26,15.167,0.388,17.000,7.174,22.130
2005-01-27,26.524,0.480,7.900,14.444,22.889
2005-01-28,NaN,NaN,NaN,NaN,NaN
2005-01-29,NaN,NaN,NaN,NaN,NaN
2005-01-30,NaN,NaN,NaN,NaN,NaN
2005-01-31,NaN,NaN,NaN,NaN,NaN
2005-02-01,NaN,NaN,NaN,NaN,NaN
2005-02-02,NaN,NaN,NaN,NaN,NaN
2005-02-03,NaN,NaN,NaN,NaN,NaN
2005-02-04,NaN,NaN,NaN,NaN,NaN
2005-02-05,10.333,0.344,19.778,NaN,NaN
2005-02-06,22.250,0.291,25.087,NaN,NaN
2005-02-07,24.083,0.279,25.043,NaN,NaN
2005-02-08,26.167,0.274,29.565,NaN,NaN
2005-02-09,27.792,0.346,37.783,NaN,NaN
2005-02-10,35.292,0.509,46.478,NaN,NaN
2005-02-11,41.042,0.671,40.565,NaN,NaN
2005-02-12,21.167,0.561,45.870,NaN,NaN
2005-02-13,23.292,0.550,39.591,NaN,NaN
2005-02-14,16.125,0.435,26.043,NaN,NaN
2005-02-15,15.250,0.358,22.783,NaN,NaN
2005-02-16,25.708,0.504,46.348,NaN,NaN
2005-02-17,36.636,0.700,46.545,NaN,NaN
2005-02-18,45.417,0.957,83.174,NaN,NaN
2005-02-19,42.833,0.708,43.087,NaN,NaN
2005-02-20,33.667,0.422,32.261,NaN,NaN
2005-02-21,31.083,0.471,38.435,NaN,NaN
2005-02-22,43.458,0.617,46.609,NaN,NaN
2005-02-23,47.125,1.029,39.087,NaN,NaN
2005-02-24,50.458,1.078,67.304,NaN,NaN
2005-02-25,48.727,1.282,33.476,NaN,NaN
2005-02-26,20.750,0.770,23.227,NaN,NaN
2005-02-27,17.000,0.558,22.957,NaN,NaN
2005-02-28,23.500,0.595,36.905,NaN,NaN
2005-03-01,23.500,0.525,35.043,NaN,NaN
2005-03-02,20.333,0.439,16.609,NaN,NaN
2005-03-03,18.792,0.446,12.087,NaN,NaN
2005-03-04,18.167,0.509,21.348,NaN,NaN
2005-03-05,17.750,0.371,26.652,NaN,NaN
2005-03-06,18.000,0.387,20.478,NaN,NaN
2005-03-07,27.333,0.546,59.043,NaN,NaN
2005-03-08,40.000,0.687,57.826,NaN,NaN
2005-03-09,44.875,0.746,40.261,NaN,NaN
2005-03-10,48.917,0.857,86.000,NaN,NaN
2005-03-11,71.917,1.613,55.870,NaN,NaN
2005-03-12,53.583,1.130,64.783,NaN,NaN
2005-03-13,43.000,0.633,54.043,NaN,NaN
2005-03-14,21.167,0.630,23.783,NaN,NaN
2005-03-15,17.583,0.954,15.217,NaN,NaN
2005-03-16,12.917,0.683,8.913,NaN,NaN
2005-03-17,17.000,0.742,20.174,NaN,NaN
2005-03-18,28.625,1.071,14.261,NaN,NaN
2005-03-19,29.083,0.817,40.208,NaN,NaN
2005-03-20,29.250,0.783,55.000,NaN,NaN
2005-03-21,29.167,1.229,12.750,NaN,NaN
2005-03-22,16.864,0.745,10.909,NaN,NaN
2005-03-23,20.250,0.838,20.042,NaN,NaN
2005-03-24,13.458,0.617,10.875,NaN,NaN
2005-03-25,11.208,0.367,24.333,NaN,NaN
2005-03-26,19.875,0.533,19.750,NaN,NaN
2005-03-27,15.167,0.463,20.500,NaN,NaN
2005-03-28,19.542,0.546,23.542,NaN,NaN
2005-03-29,24.917,0.629,37.583,NaN,NaN
2005-03-30,31.542,0.767,31.167,NaN,NaN
2005-03-31,38.750,0.775,53.958,NaN,NaN
2005-04-01,30.167,0.900,35.167,NaN,NaN
2005-04-02,35.875,0.938,30.583,NaN,NaN
2005-04-03,54.625,0.833,41.667,NaN,NaN
2005-04-04,19.792,0.650,30.083,NaN,NaN
2005-04-05,12.625,0.633,15.125,NaN,NaN
2005-04-06,27.364,0.773,29.364,NaN,NaN
2005-04-07,28.750,0.821,38.500,NaN,NaN
2005-04-08,40.333,1.117,44.583,NaN,NaN
