Dados diarios fornecidos pela estacao meteorologica do IAG/USP
variavel, unidade, descricao
data, dia, yyyy-mm-dd
TempMed, oC, temperatura media diaria
TempMax, oC, temperatura maxima diaria
TempMin, oC, temperatura minima diaria
URMed, %, umidade relativa media diaria
URMin, %, umidade relativa minima diaria
VV, km/h, velocidade do vento media diaria
Rad, W/m2, irradiação solar global
Press, mbar, pressão atmosférica na superfície media diaria
Precip, mm/dia, acumulado diario de precipitacao
data,TempMed,TempMax,TempMin,URMed,URMin,VV,Rad,Press,Precip
2005-01-01,22.34583333,28,18.5,76.58333333,59,6.041666667,28.08123013,925.3989542,0
2005-01-02,22.70416667,28.5,17.8,76.375,57,6.125,28.15966673,925.9694247,0
2005-01-03,22.7,30,18.1,76.29166667,42,6.458333333,20.84331484,924.6334417,48.9
2005-01-04,20.97916667,24.2,18.9,91.29166667,74,8.166666667,11.46030887,922.2056779,12.4
2005-01-05,22.02083333,25.3,19.5,85.5,74,9,12.89081563,920.8376525,36.4
2005-01-06,23.87916667,28.3,21,77.16666667,59,9.208333333,17.50111694,922.3976319,0
2005-01-07,24.34583333,30.2,20.8,78.66666667,55,6.625,20.44139533,924.0031669,0
2005-01-08,24.15,30,20.2,80.58333333,60,5.625,22.02987264,923.0987223,0
2005-01-09,25.11666667,31.4,20.4,77.95833333,51,6.958333333,26.71791873,920.6999486,1.9
2005-01-10,25.2625,30.7,20.8,74.625,52,7.708333333,22.26512471,919.6639905,4.8
2005-01-11,21.97083333,25,20.5,94.20833333,81,3.375,5.812647953,920.757263,48.1
2005-01-12,20.4125,24,18.1,91.25,78,6.791666667,13.59975121,922.1983257,30.3
2005-01-13,21.17083333,28.6,17.2,77.125,56,5.333333333,27.02688884,921.6892988,0
2005-01-14,21.15,27.8,15.4,78.41666667,57,5.166666667,27.81877354,920.1695751,0
2005-01-15,26.11666667,33,19,65.875,42,8.25,28.61033461,917.9854912,0
2005-01-16,23.87916667,29.3,19.1,81.5,59,8.875,11.37026651,918.8195077,15.9
2005-01-17,20.25833333,22.4,18.7,93.41666667,84,4.041666667,7.000676382,920.3546706,4.2
2005-01-18,21.425,23.9,19.8,93.41666667,86,2.875,8.508722361,920.0558259,1.1
2005-01-19,23.02083333,25.7,20.1,86.04166667,73,5.083333333,10.88977338,919.7044827,1.4
